Season,Orange Cap,Purple Cap,MVP,Most Sixes,Most Fours
2008,Shaun Marsh,Sohail Tanvir,Shane Watson,Sanath Jayasuriya,Gautam Gambhir
2009,Matthew Hayden,RP Singh,Adam Gilchrist,Adam Gilchrist,Herschelle Gibbs
2010,Sachin Tendulkar,Pragyan Ojha,Sachin Tendulkar,Robin Uthappa,Sachin Tendulkar
2011,Chris Gayle,Lasith Malinga,Chris Gayle,Chris Gayle,Jacques Kallis
2012,Chris Gayle,Morne Morkel,Sunil Narine,Chris Gayle,Gautam Gambhir
2013,Michael Hussey,Dwayne Bravo,Shane Watson,Chris Gayle,Michael Hussey
2014,Robin Uthappa,Mohit Sharma,Glenn Maxwell,Glenn Maxwell,Robin Uthappa
2015,David Warner,Dwayne Bravo,Andre Russell,Chris Gayle,David Warner
2016,Virat Kohli,Bhuvneshwar Kumar,Virat Kohli,Virat Kohli,Virat Kohli
2017,David Warner,Bhuvneshwar Kumar,Ben Stokes,Glenn Maxwell,David Warner
2018,Kane Williamson,Andrew Tye,Sunil Narine,Rishabh Pant,Kane Williamson
2019,David Warner,Imran Tahir,Andre Russell,Andre Russell,Shikhar Dhawan
2020,KL Rahul,Kagiso Rabada,Jofra Archer,Ishan Kishan,Shikhar Dhawan
2021,Ruturaj Gaikwad,Harshal Patel,Harshal Patel,KL Rahul,Shikhar Dhawan
2022,Jos Buttler,Yuzvendra Chahal,Jos Buttler,Jos Buttler,Jos Buttler
2023,Shubman Gill,Mohammed Shami,Shubman Gill,Faf du Plessis,Shubman Gill
2024,Virat Kohli,Harshal Patel,Sunil Narine,Abhishek Sharma,Travis Head
2025,Sai Sudharsan,Prasidh Krishna,Suryakumar Yadav,Nicholas Pooran,Sai Sudharsan
