match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,player_of_match,result
335982,2008,6,Bangalore,4/18/2008,Indian Premier League,1,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,1,1,6,field,6,140,0,46,win
1082591,2017,6,Hyderabad,4/5/2017,Indian Premier League,1,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",1,2,1,field,2,35,0,15,win
1082592,2017,6,Pune,4/6/2017,Indian Premier League,2,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,3,field,4,0,7,36,win
1082593,2017,6,Rajkot,4/7/2017,Indian Premier League,3,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,6,5,6,field,6,0,10,57,win
1082594,2017,6,Indore,4/8/2017,Indian Premier League,4,male,T20,T20,20,2017,club,Holkar Cricket Stadium,494,494,4,field,494,0,6,71,win
1082595,2017,6,Bengaluru,4/8/2017,Indian Premier League,5,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,1,1,252,bat,1,15,0,4,win
1082596,2017,6,Hyderabad,4/9/2017,Indian Premier League,6,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",2,2,5,field,2,0,9,22,win
1082597,2017,6,Mumbai,4/9/2017,Indian Premier League,7,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,6,field,3,0,4,26,win
1082598,2017,6,Indore,4/10/2017,Indian Premier League,8,male,T20,T20,20,2017,club,Holkar Cricket Stadium,1,494,1,bat,494,0,8,70,win
1082599,2017,6,Pune,4/11/2017,Indian Premier League,9,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,4,4,252,field,252,97,0,180,win
1082600,2017,6,Mumbai,4/12/2017,Indian Premier League,10,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,2,field,3,0,4,33,win
1082601,2017,6,Kolkata,4/13/2017,Indian Premier League,11,male,T20,T20,20,2017,club,Eden Gardens,6,6,494,field,6,0,8,65,win
1082602,2017,6,Bangalore,4/14/2017,Indian Premier League,12,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,3,1,3,field,3,0,4,29,win
1082603,2017,6,Rajkot,4/14/2017,Indian Premier League,13,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,5,5,4,field,5,0,7,351,win
1082604,2017,6,Kolkata,4/15/2017,Indian Premier League,14,male,T20,T20,20,2017,club,Eden Gardens,2,6,2,field,6,17,0,58,win
1082605,2017,6,Delhi,4/15/2017,Indian Premier League,15,male,T20,T20,20,2017,club,Feroz Shah Kotla,252,252,494,bat,252,51,0,258,win
1082606,2017,6,Mumbai,4/16/2017,Indian Premier League,16,male,T20,T20,20,2017,club,Wankhede Stadium,3,3,5,field,3,0,6,26,win
