Player,ImageURL
Shaun Marsh,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/shaun%20marsh.png
Sohail Tanvir,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Sohail%20Tanvir.png
Sanath Jayasuriya,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Sanath%20Jayasuriya.png
Gautam Gambhir,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/gautam%20gambhir.png
Shane Watson,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/shane%20watson.png
Matthew Hayden,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Matthew%20Hayden.png
RP Singh,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/RP%20Singh.png
Adam Gilchrist,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Adam%20Gilchrist.png
Herschelle Gibbs,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Herschelle%20Gibbs.png
Sachin Tendulkar,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Sachin%20Tendulkar.png
Pragyan Ojha,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Pragyan%20Ojha.png
Robin Uthappa,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/robin%20uthappa.png
Chris Gayle,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Chris%20Gayle.png
Lasith Malinga,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Lasith%20Malinga.png
Jacques Kallis,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Jacques%20Kallis.png
Morne Morkel,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Morne%20Morkel.png
Sunil Narine,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Sunil%20Narine.png
Michael Hussey,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Michael%20Hussey.png
Dwayne Bravo,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Dwayne%20bravo.png
Mohit Sharma,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Mohit%20Sharma.png
Glenn Maxwell,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Glenn%20Maxwell.png
David Warner,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/david%20warner.png
Andre Russell,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Andre%20Russell.png
Virat Kohli,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Virat%20Kohli.png
Bhuvneshwar Kumar,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Bhuvneshwar%20Kumar.png
Ben Stokes,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Ben%20Stokes.png
Kane Williamson,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/kane%20willamsion.png
Andrew Tye,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Andrew%20Tye.png
Rishabh Pant,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Rishabh%20Pant.png
Imran Tahir,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Imran%20Tahir.png
Shikhar Dhawan,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Shikhar%20Dhawan.png
KL Rahul,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/KL%20Rahul.png
Kagiso Rabada,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Kagiso%20Rabada.png
Ishan Kishan,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Ishan%20Kishan.png
Jofra Archer,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Jofra%20Archer.png
Ruturaj Gaikwad,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Ruturaj%20Gaikwad.png
Harshal Patel,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Harshal%20Patel.png
Jos Buttler,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Jos%20Buttler.png
Yuzvendra Chahal,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Yuzvendra%20Chahal.png
Shubman Gill,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Shubman%20Gill.png
Mohammed Shami,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Mohammed%20Shami.png
Faf du Plessis,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Faf%20du%20Plessis.png
Abhishek Sharma,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Abhishek%20Sharma.png
Travis Head,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Travis%20Head.png
Sai Sudharsan,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Sai%20Sudharsan.png
Prasidh Krishna,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Prasidh%20Krishna.png
Nicholas Pooran,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Nicholas%20Pooran.png
Suryakumar Yadav,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/Suryakumar%20Yadav.png
