Team,LogoURL
CSK,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/CSK.png
,
MI,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/MI.jpg
,
KKR,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/KKR.png
,
RCB,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/RCB.jpg
,
SRH,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/SRH.jpg
,
GT,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/GT.jpg
,
RR,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/RR.png
,
DC,https://raw.githubusercontent.com/Varuag2003/IPL-LOGO-PLAYER-PIC/main/DC.png
